||13|||1|5||17|||||||4|||||25|||8|11
||||||2||||||23|||20|8|22||25||16|21|19|24
22||5|2||11|13||7||||6|9|||||15||1|3|||14
||||||8||21|||4|22|||||11||13|15|||20|6
||17|20||||14|22||||10|13|||1|6|19|12|9|||18|5
7|14|4|17||||25||11||18|1||5|2|||12||||||20
|25||||||23||||||22|16|||||20|2||24||12
|15|||20||||24||6|||10|||||23|16|17|||25|3
10||1||||||20||||||||15||||||||18
|22|2||12||16||5|14||25|9|||11||17||||21|||13
|21||||||17||5||||1||||||23||6||11|16
|16|15|4|17||19|||||13|||||5||3|24|||||25
|||||||20||16|23|||||21|||1|||9|13|3|8
||25|||||||15|16|12|||||||9|||18|5||19
|2||||25||13|||7|6||||16|4||||||||21
|||||16||||||3|||23|||19|2|||4||9|10
|1||13|24|7|11|||2|10|||19||||3|21|||12||5|17
||22||||||||||18||||||11||19||25||1
|19||||||5|3||12|||||||||1|21||||23
21||||||||9|||1||6|||25|||||13|14||22
||||||||13|24||23|21|11||||||15|||||7
|10||1||22|25|||7|||||12|18|21||13|5||23|||9
|13||7||||||||22|2|18||19|||10||||||15
|12|||14|23|||4|||5|||||11|||||||21|2
|||23|||||||9|10|||||||20|||19|||4

