24|22||||25||||5||6|35||11||30|33||16|||34|32|9|7|12|28|29|4|1|2|36|20|8|23
|29|18||2|9|21|11|10|24|16|26|36|19|22|32||||3|5|14||||6||20||1|||13|12||15
|14|||26|7||33|23||32|20||||24|||30||21|9|11|12|36||||||6|5|4|19|31|28
||||8|4|7|2||12|9|30|5|1|14|15|10|3|22|31||13|36||18||||26||25||16||33|21
5|21|36|16|20|||8||13|1||||23|25|||17|27||15||||2|10|11||31|22||14|3|30|9
|30|27|28|33||31|||15||36|9|8||12|16||4|7||2||6|14|3|5|13|21|34|32|24|10|||11
|1|32|18||||||||11|7|16|12||27|13|||15|6|9|31|35|20|30|||22||4|21|||3
||25||22|6|28|5|||||21|15|||3|14|13||33|12|20|34|1|16|9|4|10|11||35|2|36|32|19
11|16|19||||13||2||12|||17|8|20|9|30|1|4|10|26|21||27||||14|3|18||33|22|15|34
|9|10|33||24|6||1|20|||23||36||25|32|14|28||11||16|21|15|13|31|18|19||||26|29|7
|||15|14|35|||31||4|9|18|26|6||34|19||8|32|7|22|30|23|33|2|17|12|24|20|||11|28|16
|23|34||28|||15|21|16|22|||4|35|2|1|11|3|36|27|24||18||||8|7|26|9|6|31||17|13
16|5||11|36|26|32|||21|33|12||30|4|||||15|14|28|1|19|20|25|18||6|10||3|24|7|13|17
|12|7||||24|23|11|27||1|29|14|26|||31|10|||8||2||28|21|15|33||5|36|||9|35
||9|8|35||22|10|6|30|7|2|15|34|1|36|11|5||18||16|||3|12|14|||17|23|32|20|21||25
30|10|22|31||14|36|19||18||3|25|20|9|7|8|6||32|34|35|||26|24|23||11||2||27|28||1
29|18|6|24|23||16||5|9|20|14|10|3|28|||12||||27|30|17|4||32|35|22||15|11||8||31
|15|1|32|27|||25|34||26|28|13|33|16|17|24|21|36|6|||3||7|9||2||5|14|22|18|||10
8|11||2|12|15|10|24|36||5|||9||||25|31|35|16||27|26|29||3|14|19|20|13|34||23|7|32
18|7|33|22|21|1||3|13|31|14|||23|19||5|36||24|9|32|2|8|10|26|17|30|15||12|16|28||11|4
|32|5||||9|12|7|4|11|15|26|35||3||24|28|29|||25||34||16|21|23|8||19|22|18||20
|26|17|14|24|23|||30|35|28|18|||31|33|7|||19||34|15|21|6||1|12|||3|29|9|5|2|27
13|31|16|19|||8|6|20|1|2|17||32|34|29||28||10|30|23|14|||11|7|18||27|36|26|25|33|21|24
||20|25||29|26|21|32|19|23|27|12||17|13|14|16|18|5|36|3|4|7|28||33|24|9|2||10|8|15|1|30
34||23|7|||33|32|3|14|6|25|17|29|5||31|35|11||24|36||9||18||22||12||8||16||2
14|4|30|35|5|18|15|9|19||||1|2|24|||||22|20|29|32|3|8|34|25|27|17|23|10||7||6|12
|3||13|10|17||28|12||27|4|34|18|7|6|21|22|35|2|8|25||15|19|14|31|9|1|16||||32||36
|25|8||1|33|5||16|11|35||32|28|3|14|23|15||26|19|30||13|2|36|6|10|24|29|34|21|17|4|18|22
15||||11|16||30|22|23|31|8||25|10|9|36||34|12|17|18||14|32|21|4|5|28||35|13|3|24|27|29
|36|29|21|31|32|2|18|24|17|34|10|16|12||30|13||33|1|||28|4||||26|||19|||25||14
|19|14|9|18||12|35|||13||31|||||7|26|34|3|20|6||24|29|||16||||32|17|22|8
|20|3|30|6||||14|8||5|||25|26|35||23|9||21||1|||19|||18|16||34|13|10|33
21||13|23|15||20||17|33|3|16|14|6|32||19|9|24|11|35|31|29||22|10|26|25||28||7|12|1|36|18
17|||10|16|11||27|9|28|29|31|3||33||20||32|13||22||25|15|30||7|5|6|4||35|2|24|26
|24|4||32|22|18|1|25|6|10|21|28|||8|12||15||7|33|16|36|||34||20||11|31|29||19|5
7||31|29||36|||26|32||||10|15|16|17|18|||4|||28|12|8|35||||21|20|23|27|3|6
